# Time-averaged data for fix thermo_ave
# TimeStep v_T v_p v_rho v_Etot v_Ekin v_Epot
7860 1.0819 0.448343 0.726 -3.3898 1.62252 -5.01232
7880 1.08602 0.42505 0.726 -3.38876 1.6287 -5.01746
7900 1.08753 0.413598 0.726 -3.38834 1.63097 -5.01932
7920 1.08962 0.397598 0.726 -3.38884 1.6341 -5.02294
7940 1.09975 0.345798 0.726 -3.39081 1.6493 -5.04011
7960 1.09427 0.357395 0.726 -3.39556 1.64107 -5.03663
7980 1.07612 0.418545 0.726 -3.40286 1.61385 -5.01671
8000 1.06408 0.448565 0.726 -3.4107 1.5958 -5.00651
8020 1.06348 0.427259 0.726 -3.41739 1.5949 -5.01229
8040 1.06706 0.391815 0.726 -3.42256 1.60026 -5.02282
